metric,baseline,optimized,change_pct
total_cost,59951.44601209738,50230.818256597006,-16.214167300549992
holding_cost,34425.330931397635,26374.005275890053,-23.387794503855787
ordering_cost,3960.0,8900.0,124.74747474747474
stockout_cost,21566.115080699747,14956.81298070696,-30.646697725858267
average_inventory,122.94761046927725,94.19287598532159,-23.387794503855798
max_inventory,762.9479452054795,572.5945205479452,-24.9497263678019
stockout_units,10783.057540349873,7478.40649035348,-30.646697725858267
stockout_days,390.0,342.0,-12.307692307692308
service_level,0.9195894292293074,0.944232613793039,2.679802940360531
fill_rate,0.9195894292293074,0.944232613793039,2.679802940360531
orders,792.0,1780.0,124.74747474747474
